cell	orig.ident	nCount_RNA	nFeature_RNA	title	geo_accession	population	lsc_activity	CD34	predicted.celltype.score	predicted.celltype	sample	patient
GSM5973423	GSE199336	69694770	25892	LSC0041_Bl_CD34pCD38p	GSM5973423	CD34+CD38+		Positive	0.362896692747275	LMPP	Zeng et al.	LSC0041
GSM5973424	GSE199336	61963115	24907	LSC0042_Bl_CD34pCD38p	GSM5973424	CD34+CD38+		Positive	0.580184359418073	LMPP	Zeng et al.	LSC0042
GSM5973425	GSE199336	61198450	27459	LSC0043_Bl_CD34mCD38m	GSM5973425	CD34-CD38-		Negative	0.755513589473427	MEP	Zeng et al.	LSC0043
GSM5973426	GSE199336	69150737	27326	LSC0043_Bl_CD34pCD38p	GSM5973426	CD34+CD38+		Positive	0.39933878618954	LMPP	Zeng et al.	LSC0043
GSM5973427	GSE199336	68520444	24316	LSC0045_Bl_CD34mCD38p	GSM5973427	CD34-CD38+		Negative	0.3947422141975	HSC	Zeng et al.	LSC0045
GSM5973428	GSE199336	50027344	25731	LSC0046_Bl_CD34mCD38p	GSM5973428	CD34-CD38+		Negative	0.468836958408759	LMPP	Zeng et al.	LSC0046
GSM5973429	GSE199336	57789799	26697	LSC0048_Bl_CD34mCD38p	GSM5973429	CD34-CD38+		Negative	0.361318695176721	LMPP	Zeng et al.	LSC0048
GSM5973430	GSE199336	53640015	25701	LSC0049_Bl_CD34mCD38p	GSM5973430	CD34-CD38+		Negative	0.705129085812509	MEP	Zeng et al.	LSC0049
GSM5973431	GSE199336	68758280	27741	LSC0049_Bl_CD34pCD38p	GSM5973431	CD34+CD38+		Positive	0.592346859559479	MEP	Zeng et al.	LSC0049
GSM5973432	GSE199336	58539439	28370	LSC0050_Bl_CD34mCD38p	GSM5973432	CD34-CD38+		Negative	0.696731763940062	GMP	Zeng et al.	LSC0050
GSM5973433	GSE199336	58770146	26369	LSC0051_Bl_CD34pCD38p	GSM5973433	CD34+CD38+		Positive	0.770651142800617	LMPP	Zeng et al.	LSC0051
GSM5973434	GSE199336	52631588	23661	LSC0052_Bl_CD34pCD38p	GSM5973434	CD34+CD38+		Positive	0.568190016989607	LMPP	Zeng et al.	LSC0052
GSM5973435	GSE199336	54378255	27514	LSC0053_Bl_CD34mCD38p	GSM5973435	CD34-CD38+		Negative	0.382232683054208	HSC	Zeng et al.	LSC0053
GSM5973436	GSE199336	53914678	26383	LSC0053_Bl_CD34pCD38m	GSM5973436	CD34+CD38-		Positive	0.642676122039181	HSC	Zeng et al.	LSC0053
GSM5973437	GSE199336	55685947	27202	LSC0053_Bl_CD34pCD38p	GSM5973437	CD34+CD38+		Positive	0.581884642130505	HSC	Zeng et al.	LSC0053
GSM5973438	GSE199336	43778076	27279	LSC0054_Bl_CD34mCD38p	GSM5973438	CD34-CD38+		Negative	0.531919057575427	GMP	Zeng et al.	LSC0054
GSM5973439	GSE199336	56765393	26595	LSC0055_Bl_CD34mCD38p	GSM5973439	CD34-CD38+		Negative	0.414295982745824	CD14 Mono	Zeng et al.	LSC0055
GSM5973440	GSE199336	49866703	21817	LSC0056_Bl_CD34pCD38m	GSM5973440	CD34+CD38-		Positive	0.571346381525694	HSC	Zeng et al.	LSC0056
GSM5973441	GSE199336	52671982	27771	LSC0057_Bl_CD34pCD38m	GSM5973441	CD34+CD38-		Positive	0.69884800246505	HSC	Zeng et al.	LSC0057
GSM5973442	GSE199336	65667405	25046	LSC0058_Bl_CD34mCD38m	GSM5973442	CD34-CD38-		Negative	0.822383501513619	MEP	Zeng et al.	LSC0058
GSM5973443	GSE199336	68354566	26170	LSC0058_Bl_CD34mCD38p	GSM5973443	CD34-CD38+		Negative	0.834139767867714	MEP	Zeng et al.	LSC0058
GSM5973444	GSE199336	58745966	21875	LSC0058_Bl_CD34pCD38m	GSM5973444	CD34+CD38-		Positive	0.659020738211822	HSC	Zeng et al.	LSC0058
GSM5973445	GSE199336	39406526	24237	LSC0059_Bl_CD34mCD38m	GSM5973445	CD34-CD38-		Negative	0.470841555899698	HSC	Zeng et al.	LSC0059
GSM5973446	GSE199336	70403160	25231	LSC0059_Bl_CD34mCD38p	GSM5973446	CD34-CD38+		Negative	0.387970249685156	CD14 Mono	Zeng et al.	LSC0059
GSM5973447	GSE199336	63729803	26664	LSC0060_Bl_CD34mCD38p	GSM5973447	CD34-CD38+		Negative	0.236202376458722	HSC	Zeng et al.	LSC0060
GSM5973448	GSE199336	68079725	27450	LSC0060_Bl_CD34pCD38m	GSM5973448	CD34+CD38-		Positive	0.582902278143921	HSC	Zeng et al.	LSC0060
GSM5973449	GSE199336	75369254	26275	LSC0060_Bl_CD34pCD38p	GSM5973449	CD34+CD38+		Positive	0.49769440337579	LMPP	Zeng et al.	LSC0060
GSM5973450	GSE199336	51262147	25861	LSC0061_Bl_CD34mCD38m	GSM5973450	CD34-CD38-		Negative	0.544779863771838	MEP	Zeng et al.	LSC0061
GSM5973451	GSE199336	56158879	26765	LSC0061_Bl_CD34mCD38p	GSM5973451	CD34-CD38+		Negative	0.328768144264299	pDC	Zeng et al.	LSC0061
