# Mapping between sequencing sample IDs (Sample) and manuscript sample IDs (D.ID_1), as referenced in Supplementary Table 6 of the manuscript
# Each Sample represents a population-level sequencing sample; D.ID_1 represents a patient at a specific timepoint
# Columns: D.ID_1, Population, Sample
"D.ID_1"	"Population"	"Sample"
"69"	"LSC"	"D69_lsc-d1"
"69"	"MATURE"	"D69_mature-d1"
"71"	"LSC"	"D71_lsc-d1"
"72"	"LSC"	"D72_lsc-d1"
"74"	"LSC"	"D74_lsc-d1"
"77"	"LSC"	"D77_lsc-d1"
"78"	"LSC"	"D78_lsc-d1"
"79"	"LSC"	"D79_lsc-d1"
"79"	"MATURE"	"D79_mature-d1"
"80"	"LSC"	"D80_lsc-d1"
"81"	"LSC"	"D81_lsc-d1"
"82"	"LSC"	"D82_lsc-d1"
"83"	"LSC"	"HIAML96_lsc-d1"
"84"	"LSC"	"HIAML97_lsc-d1"
"85"	"LSC"	"HIAML98_lsc-d1"
"R10"	"LSC"	"R10_lsc-rr1"
"R11"	"LSC"	"R11_lsc-rr1"
"R11"	"MATURE"	"R11_mature-rr1"
"R3"	"LSC"	"R3_lsc-rr1"
"R4"	"LSC"	"R4_lsc-rr1"
"R5"	"LSC"	"R5_lsc-rr1"
"R6"	"LSC"	"R6_lsc-rr1"
"R7"	"MATURE"	"R7_mature-rr1"
"R8"	"LSC"	"R8_lsc-rr1"
"R9"	"LSC"	"R9_lsc-rr1"
"P10R"	"LSC"	"P10_lsc-r1"
"P11D"	"LSC"	"P11_lsc-d1"
"P11R"	"LSC"	"P11_lsc-r1"
"P12R"	"LSC"	"P12_lsc-r1"
"P13R"	"LSC"	"P13_lsc-r1"
"P14D"	"LSC"	"P14_lsc-d1"
"P14D"	"MATURE"	"P14_mature-d1"
"P14R"	"LSC"	"P14_lsc-r1"
"P14R"	"MATURE"	"P14_mature-r1"
"P15D"	"LSC"	"P15_lsc-d1"
"P16R"	"LSC"	"P16_lsc-r1"
"P16R"	"MATURE"	"P16_mature-r1"
"P17D"	"LSC"	"P17_lsc-d1"
"P17R"	"LSC"	"P17_lsc-r1"
