refUMAP_1,refUMAP_2,Cell,orig.ident,nCount_RNA,nFeature_RNA,CCLE_ID,depMapID,Name,Pathology,Site_Primary,Site_Subtype1,Site_Subtype2,Site_Subtype3,Histology,Hist_Subtype1,Hist_Subtype2,Hist_Subtype3,Gender,Life_Stage,Age,Race,Geo_Loc,inferred_ethnicity,Site_Of_Finding,Disease,Annotation_Source,Original.Source.of.Cell.Line,Characteristics,Growth.Medium,Supplements,Freezing.Medium,Doubling.Time.from.Vendor,Doubling.Time.Calculated.hrs,type,type_refined,PATHOLOGIST_ANNOTATION,mutRate,tcga_code,batch,predicted.celltype
-5.65038633346558,5.63019752502441,SUDHL10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CCLE,126273081,23756,SUDHL10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000271,SU-DHL-10,metastasis,haematopoietic_and_lymphoid_tissue,NS,NS,NS,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,NS,NS,male,,25,,,Caucasian,pleura,diffuse_histiocytic_lymphoma,CCLE,DSMZ,round lymphoid cells growing singly or in clumps in suspention,80-90% RPMI 1640 +10-20% h.i. FBS,,,~ 30-50 hrs,,lymphoma_DLBCL,lymphoma_DLBCL,Lymphoma:NH_B_cell,92.25565066,DLBC,CCLE,Prog_B 2
-5.59741258621216,5.29869985580444,SUDHL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CCLE,128407610,24252,SUDHL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000664,SU-DHL-1,metastasis,haematopoietic_and_lymphoid_tissue,NS,NS,NS,lymphoid_neoplasm,anaplastic_large_cell_lymphoma,NS,NS,male,,10,,,Caucasian,pleura,anaplastic_large_cell_lymphoma,CCLE,DSMZ,"polymorphic cells growing in suspention, singly or in small clusters",90% RPMI 1640 +10% h.i. FBS,,,~  40-50 hrs,,lymphoma_other,T-cell_lymphoma_other,Lymphoma:NH_T_cell,125.341816,,CCLE,CD4 Memory
-5.66374254226685,5.52494621276856,SUDHL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CCLE,129521178,24285,SUDHL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000365,SU-DHL-4,metastasis,haematopoietic_and_lymphoid_tissue,NS,NS,NS,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,NS,NS,male,,38,,,Caucasian,pleura,diffuse_histiocytic_lymphoma,CCLE,DSMZ,SUSPENSION,RPMI-1640+ 20% FBS,,5% DMSO,,45.1,lymphoma_DLBCL,lymphoma_DLBCL,Lymphoma:NH_B_cell,96.79794358,DLBC,CCLE,Prog_B 2
-5.52086734771729,5.48962450027466,SUDHL5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CCLE,57739160,23557,SUDHL5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000660,SU-DHL-5,primary,haematopoietic_and_lymphoid_tissue,NS,NS,NS,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,NS,NS,female,,17,,,Caucasian,lymph_node,B-cell non-Hodgkin lymphoma,CCLE,DSMZ,Supsension,RPMI +10%FBS,,5% DMSO,,,lymphoma_DLBCL,lymphoma_DLBCL,Lymphoma:NH_B_cell,126.2473501,DLBC,CCLE,Prog_B 2
-5.61847591400147,5.53627109527588,SUDHL6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CCLE,112993122,24428,SUDHL6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000611,SU-DHL-6,metastasis,haematopoietic_and_lymphoid_tissue,NS,NS,NS,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,NS,NS,male,,43,,,Caucasian,peritoneum,B-cell non-Hodgkin lymphoma,CCLE,DSMZ,SUSPENSION,RPMI-1640+ 20% FBS,,5% DMSO,,48,lymphoma_DLBCL,lymphoma_DLBCL,Lymphoma:NH_B_cell,128.1284701,DLBC,CCLE,Prog_B 2
-5.57908248901367,5.63747358322144,SUDHL8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CCLE,149131664,24232,SUDHL8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000656,SU-DHL-8,metastasis,haematopoietic_and_lymphoid_tissue,NS,NS,NS,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,NS,NS,male,,59,,,Caucasian,pleura,,CCLE,DSMZ,round single cells growing in suspention,80% RPMI 1640 +20% h.i. FBS,,,~  48-72 hrs,,lymphoma_DLBCL,lymphoma_DLBCL,Lymphoma:NH_B_cell,151.013337,DLBC,CCLE,Prog_B 2
-5.63839864730835,5.67275047302246,SUPB15_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CCLE,127085437,24940,SUPB15_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000059,SUP-B15,primary,haematopoietic_and_lymphoid_tissue,NS,NS,NS,lymphoid_neoplasm,acute_lymphoblastic_B_cell_leukaemia,NS,NS,male,,9,caucasian,,Caucasian,,,CCLE,NIBRI,,,,,,,B-cell_ALL,B-cell_ALL,Leukemia:ALL,76.86299598,ALL,CCLE,Prog_B 2
-6.52117395401001,-0.962820708751678,SUPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CCLE,117149608,24215,SUPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000226,SUP-M2,metastasis,haematopoietic_and_lymphoid_tissue,NS,NS,NS,lymphoid_neoplasm,anaplastic_large_cell_lymphoma,NS,NS,female,,5,,,Caucasian,cerebrospinal_fluid,,CCLE,DSMZ,round cells growing singly or in clumps in suspension,RPMI-1640+ 20% FBS,,5% DMSO,40-50hrs,62.3,lymphoma_other,T-cell_lymphoma_other,Lymphoma:NH_T_cell,107.1948767,,CCLE,CD4 Memory
-5.62456274032593,5.78496789932251,SUPT11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CCLE,129282086,24472,SUPT11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000122,SUP-T11,primary,haematopoietic_and_lymphoid_tissue,NS,NS,NS,lymphoid_neoplasm,peripheral_T_cell_lymphoma_unspecified,NS,NS,male,,74,,,Caucasian,,,CCLE,DSMZ,suspension,RPMI + 10 % FBS,,5% DMSO,,78.9,lymphoma_other,T-cell_lymphoma_other,Lymphoma:NH_T_cell,76.68730425,,CCLE,Prog_B 2
-5.61442375183106,5.64625024795532,SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CCLE,106067310,24927,SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000953,SUP-T1,metastasis,haematopoietic_and_lymphoid_tissue,NS,NS,NS,lymphoid_neoplasm,acute_lymphoblastic_T_cell_leukaemia,NS,NS,male,,8,caucasian,,Caucasian,pleura,,CCLE,NIBRI,,,,,,,T-cell_ALL,T-cell_ALL,Leukemia:ALL,509.7698434,ALL,CCLE,Prog_B 2
-5.66859579086304,5.40635633468628,TALL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CCLE,82853627,24591,TALL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000197,TALL-1,primary,haematopoietic_and_lymphoid_tissue,NS,NS,NS,lymphoid_neoplasm,acute_lymphoblastic_T_cell_leukaemia,NS,NS,male,,28,,,,,,CCLE,NIBRI,,,,,,83.1,T-cell_ALL,T-cell_ALL,Leukemia:ALL,139.2167544,ALL,CCLE,Prog_B 2
-2.66882562637329,0.256125271320343,TF1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CCLE,147023618,24854,TF1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000387,TF-1,primary,haematopoietic_and_lymphoid_tissue,NS,NS,NS,haematopoietic_neoplasm,acute_myeloid_leukaemia,M6,NS,male,,35,asian,japan,Asian,,,CCLE,NIBRI,,,,,,46.6,AML,AML,Leukemia:AML,141.2661995,LAML,CCLE,Prog_RBC
-6.47533512115479,-0.51687878370285,THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CCLE,117412634,24438,THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000146,THP-1,primary,haematopoietic_and_lymphoid_tissue,NS,NS,NS,haematopoietic_neoplasm,acute_myeloid_leukaemia,M5,NS,male,pediatric,1,,,Asian,,acute_monocytic_leukemia,CCLE,NIBRI,,RPMI-1640 + 10% FBS,0.05 mM 2-mercaptoethanol,5%DMSO,,101.8,AML,AML,Leukemia:AML,149.7150398,LAML,CCLE,GMP
-3.59039115905762,0.978427290916443,TO175T_FIBROBLAST,CCLE,107254013,23977,TO175T_FIBROBLAST,ACH-000125,TO 175.T,metastasis,haematopoietic_and_lymphoid_tissue,lymph_node,NS,NS,lymphoid_neoplasm,Hodgkin_lymphoma,NS,NS,male,,29,caucasian,,Caucasian,skin,,CCLE,GNF,,,,,,,lymphoma_Hodgkin,fibroblast_like,Lymphoma:Hodgkin,74.60365229,,CCLE,Prog_RBC
-5.53453540802002,5.76670074462891,TOLEDO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CCLE,153609053,25833,TOLEDO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000285,Toledo,primary,haematopoietic_and_lymphoid_tissue,NS,NS,NS,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,NS,NS,female,adult,,caucasian,,Caucasian,,,CCLE,ATCC,"suspension, lymphoblast",RPMI-1640 + 10% FBS,,5%DMSO,,51.4,lymphoma_DLBCL,lymphoma_DLBCL,Lymphoma:NH_B_cell,88.11498549,DLBC,CCLE,Prog_B 2
-5.77932024002075,5.96461963653565,U266B1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CCLE,60711057,24345,U266B1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000626,U266B1,primary,haematopoietic_and_lymphoid_tissue,NS,NS,NS,lymphoid_neoplasm,plasma_cell_myeloma,NS,NS,male,,53,,,Caucasian,,myeloma,CCLE,ATCC,Suspension Lymphoblast,RPMI1640+15%FBS,,5%DMSO,,198.1,multiple_myeloma,multiple_myeloma,Lymphoma:Multiple_Myeloma,125.3581906,MM,CCLE,Prog_B 2
-4.52083349227905,0.991830766201019,U937_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CCLE,123800324,23371,U937_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000406,U-937,metastasis,haematopoietic_and_lymphoid_tissue,NS,NS,NS,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,NS,NS,male,,37,caucasian,,Caucasian,pleura,histiocytic_lymphoma,CCLE,NIBRI,,RPMI-1640 + 10% FBS,,5%DMSO,,115.9,lymphoma_DLBCL,AML,Lymphoma:NH_B_cell,125.2330331,DLBC,CCLE,Prog_RBC
-5.55372285842896,5.6476469039917,WSUDLCL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CCLE,58065319,23138,WSUDLCL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000534,WSU-DLCL2,metastasis,haematopoietic_and_lymphoid_tissue,NS,NS,NS,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,NS,NS,male,,41,caucasian,,Caucasian,pleura,diffuse large cell lymphoma non-cleaved type,CCLE,DSMZ,supension,RPMI-1640 + 10% FBS,,10%DMSO,,49.3,lymphoma_DLBCL,lymphoma_DLBCL,Lymphoma:NH_B_cell,100.8372372,DLBC,CCLE,Prog_B 2
