patient	LMPP	MEP	HSC	ProgDC	Mono	GMP	cDC2	pDC
13-00601	0.0759826253023195	0.208737778921599	0.0547024362844495	0.0308944482236438	0.297073379768834	0.332609331499154	0	0
13-00602	0.178314005471547	0.0772901959330429	0.146931986148042	0.0311269298496107	0.527616142073734	0.00154089092862595	0.00690566304737491	0.0302741865480219
13-00615	0.26890457247247	0.122137146617454	0.250806726989856	0.0182974787398342	0.0972065408157691	0.236378291399134	0	0.00626924296548275
13-00650	0.493746084158933	0.0502848904256105	0.389595235852362	0.0150910401092301	0.0116413448495287	0.0255918982337572	0	0.0140495063705779
13-00655	0.120298040187498	0.0483564254296329	0	0.11705806987265	0	0.10864360395813	0.60564386055209	0
13-00658	0.390361437696511	0.185278925162261	0.0614921069455345	0	0.0434390249846874	0.230454196636514	0.0862935610609274	0.00268074751356576
14-00015	0.240363359345935	0.0380508019564007	0	0.345272648853353	0.0166111828938785	0.04989757589101	0.301618966623582	0.0081854644358413
14-00021	0.0815733782080434	0.204198159907892	0.281927159344428	0.0035997501154183	0.290532234746691	0.138169317677527	0	0
14-00023	0.0582710130530609	0.182728914263801	0.0230004889766008	0	0.500539898093256	0.00254451162123632	0.232915173992045	0
14-00034	0.25391839376406	0.454796316225223	0.210902960888611	0.0176144953811415	0.0259982183391035	0.0322220786044023	0	0.00454753679745941
14-00041	0.00860866604662436	0.57101294272027	0.142117682400648	0.0108892728273179	0.172819379111921	0.0660945824812168	0	0.0284574744120026
14-00044	0.477290748596953	0.0286700103368818	0.406531527991801	0.0293752753860533	0.0206481372327732	0.0197730356865345	0	0.0177112647690032
14-00045	0.460863771982229	0.06477938383518	0.338871964044906	0.0188155858699982	0.0648816600491766	0.0378156641727567	0	0.0139719700457533
14-00061	0.274244773671075	0.030265994675901	0.313388605988286	0.0673506953842407	0.0140057721938927	0	0.275159973616008	0.0255841844705974
14-00083	0.600542605317767	0.0880219276322913	0	0.139257459609797	0.0166897861321829	0.129627379060036	0	0.0258608422479257
14-00092	0.227196307656311	0.281201817304881	0.0267993982337143	0.0774932912847603	0.301152512298851	0.0861566732214818	0	0
14-00125	0.236160890255542	0.0826463596216517	0.213504624380623	0.0100477056298137	0.173155264386563	0.284485155725806	0	0
14-00126	0.170794543757878	0.0400241192864372	0.0289513806147661	0	0.258105141138342	0.440400345520822	0.0617244696817548	0
14-00127	0.16687207502927	0.0344502168235007	0.644190519620462	0.0121355851718299	0.00266392991447251	0.0894542352918813	0.0417435728620959	0.00848986528648757
14-00135	0.0463105317291952	0.0563156967177952	0.331271781761891	0.117141654447473	0.297690829336786	0.147359557358534	0	0.00390994864832548
14-00141	0.43835458369423	0.073845919146075	0.418981348281275	0.00790829281443145	0.0196920696028656	0.0244704166340987	0	0.016747369827024
